Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1767694296,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1767694297,2,,Aggregated,0.000000,0.000000,640,640,640,640,640,640,640,640,640,640,640,2,0,630.0,631.1661870131502,626.6560830117669,635.6762910145335,729.5
1767694298,4,,Aggregated,0.000000,0.000000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,4,0,640.0,821.8229370104382,626.6560830117669,1018.1203329993878,729.75
1767694299,6,,Aggregated,0.000000,0.000000,1000,1000,1000,1000,1200,1200,1200,1200,1200,1200,1200,6,0,1000.0,925.4154023365118,626.6560830117669,1217.5442909938283,730.6666666666666
1767694300,8,,Aggregated,1.000000,0.000000,1000,1200,1900,1900,1900,1900,1900,1900,1900,1900,1900,8,0,1000.0,1170.639312127605,626.6560830117669,1915.3802499931771,731.25
1767694301,10,,Aggregated,2.000000,0.000000,1900,1900,2200,2200,2400,2500,2500,2500,2500,2500,2500,12,0,1200.0,1551.8809407537144,626.6560830117669,2538.44562501763,731.5
1767694302,10,,Aggregated,2.000000,0.000000,1900,2100,2100,2200,2400,2500,2500,2500,2500,2500,2500,14,0,1900.0,1627.4999997882073,626.6560830117669,2538.44562501763,731.6428571428571
1767694303,10,,Aggregated,2.200000,0.000000,2000,2100,2400,2400,2500,2800,2800,2800,2800,2800,2800,16,0,1900.0,1754.6950987525634,626.6560830117669,2775.2915830060374,731.375
1767694304,10,,Aggregated,2.333333,0.000000,2400,2500,2700,2800,3000,3100,3100,3100,3100,3100,3100,24,0,2200.0,2094.19794946128,626.6560830117669,3071.4193749881815,731.4166666666666
1767694305,10,,Aggregated,2.333333,0.000000,2400,2500,2700,2800,3000,3100,3100,3100,3100,3100,3100,24,0,2200.0,2094.19794946128,626.6560830117669,3071.4193749881815,731.4166666666666
1767694306,10,,Aggregated,2.000000,0.000000,2200,2500,2600,2800,3000,3100,3100,3100,3100,3100,3100,25,0,2200.0,2095.195303122746,626.6560830117669,3071.4193749881815,731.36
1767694307,10,,Aggregated,2.666667,0.000000,2400,2700,2900,3000,3100,3300,3300,3300,3300,3300,3300,31,0,2400.0,2268.670579131257,626.6560830117669,3342.382417002227,731.3225806451613
1767694308,10,,Aggregated,2.666667,0.000000,2500,2800,3000,3000,3200,3300,3400,3400,3400,3400,3400,34,0,2500.0,2339.0119544732015,626.6560830117669,3411.487958015641,731.3235294117648
1767694309,10,,Aggregated,2.500000,0.000000,2500,2900,3000,3000,3200,3300,3400,3400,3400,3400,3400,35,0,2500.0,2356.892670059876,626.6560830117669,3411.487958015641,731.2857142857143
1767694310,10,,Aggregated,3.200000,0.000000,2500,2900,3000,3000,3200,3300,3400,3400,3400,3400,3400,38,0,2500.0,2380.939403344344,626.6560830117669,3411.487958015641,731.2105263157895
1767694311,10,,Aggregated,2.900000,0.000000,2700,3000,3100,3100,3300,3400,3500,3500,3500,3500,3500,43,0,2700.0,2486.86599304905,626.6560830117669,3516.821750003146,731.3255813953489
1767694312,10,,Aggregated,3.100000,0.000000,2700,3000,3100,3100,3300,3400,3900,3900,3900,3900,3900,46,0,2700.0,2512.9866638067733,626.6560830117669,3850.650999986101,731.304347826087
1767694313,10,,Aggregated,3.100000,0.000000,2700,3000,3100,3100,3300,3400,3900,3900,3900,3900,3900,48,0,2700.0,2528.4791865027123,626.6560830117669,3850.650999986101,731.2291666666666
1767694314,10,,Aggregated,3.100000,0.000000,2700,3000,3100,3100,3300,3400,3500,3900,3900,3900,3900,51,0,2700.0,2557.5164639243776,626.6560830117669,3850.650999986101,731.2941176470588
1767694315,10,,Aggregated,3.400000,0.000000,2800,3000,3100,3200,3300,3400,3500,3900,3900,3900,3900,54,0,2700.0,2586.4990693360733,626.6560830117669,3850.650999986101,731.2592592592592
1767694316,10,,Aggregated,2.900000,0.000000,2800,3000,3100,3200,3400,3500,3600,3900,3900,3900,3900,57,0,2800.0,2624.7238339493747,626.6560830117669,3850.650999986101,731.2105263157895
1767694317,10,,Aggregated,2.900000,0.000000,2800,3000,3100,3200,3400,3400,3600,3900,3900,3900,3900,61,0,2800.0,2641.930265608339,626.6560830117669,3850.650999986101,731.2295081967213
1767694318,10,,Aggregated,3.100000,0.000000,2800,3000,3100,3200,3400,3400,3600,3900,3900,3900,3900,64,0,2800.0,2647.5598840333987,626.6560830117669,3850.650999986101,731.203125
1767694319,10,,Aggregated,3.100000,0.000000,2800,3000,3100,3200,3400,3400,3600,3900,3900,3900,3900,66,0,2800.0,2661.8753503046746,626.6560830117669,3850.650999986101,731.1666666666666
1767694320,10,,Aggregated,2.900000,0.000000,2800,3000,3100,3200,3400,3400,3600,3900,3900,3900,3900,69,0,2800.0,2677.2527855519793,626.6560830117669,3850.650999986101,731.2173913043479
1767694321,10,,Aggregated,3.000000,0.000000,2900,3000,3100,3200,3300,3400,3600,3900,3900,3900,3900,74,0,2900.0,2701.058079893276,626.6560830117669,3850.650999986101,731.1756756756756
1767694322,10,,Aggregated,3.000000,0.000000,2900,3000,3100,3200,3300,3400,3600,3900,3900,3900,3900,75,0,2900.0,2703.7909127081125,626.6560830117669,3850.650999986101,731.1733333333333
1767694323,10,,Aggregated,3.200000,0.000000,2900,3000,3100,3200,3300,3400,3600,3900,3900,3900,3900,79,0,2900.0,2707.235177165808,626.6560830117669,3850.650999986101,731.2025316455696
1767694324,10,,Aggregated,2.900000,0.000000,2900,3000,3100,3200,3300,3400,3600,3900,3900,3900,3900,83,0,2900.0,2714.461678158315,626.6560830117669,3850.650999986101,731.2048192771084
1767694325,10,,Aggregated,2.900000,0.000000,2900,3000,3100,3200,3300,3400,3600,3900,3900,3900,3900,84,0,2900.0,2716.6389121564516,626.6560830117669,3850.650999986101,731.202380952381
1767694326,10,,Aggregated,3.200000,0.000000,2900,3000,3100,3200,3300,3400,3600,3900,3900,3900,3900,88,0,2900.0,2729.211951182978,626.6560830117669,3850.650999986101,731.1931818181819
1767694327,10,,Aggregated,3.100000,0.000000,2900,3000,3100,3200,3300,3400,3600,3900,3900,3900,3900,91,0,2900.0,2745.2574413417515,626.6560830117669,3850.650999986101,731.1978021978022
1767694328,10,,Aggregated,3.000000,0.000000,2900,3000,3100,3200,3300,3400,3600,3900,3900,3900,3900,94,0,2900.0,2756.9393917990656,626.6560830117669,3850.650999986101,731.1808510638298
1767694329,10,,Aggregated,3.100000,0.000000,2900,3000,3100,3200,3300,3400,3600,3900,3900,3900,3900,97,0,2900.0,2763.794389135113,626.6560830117669,3850.650999986101,731.1649484536083
1767694330,10,,Aggregated,3.100000,0.000000,2900,3000,3100,3200,3300,3400,3600,3900,3900,3900,3900,100,0,2900.0,2756.3886858007754,626.6560830117669,3850.650999986101,731.19
1767694331,10,,Aggregated,3.000000,0.000000,2900,3000,3100,3200,3300,3400,3500,3600,3900,3900,3900,103,0,2900.0,2756.277512903924,626.6560830117669,3850.650999986101,731.1941747572815
1767694332,10,,Aggregated,3.300000,0.000000,2900,3000,3100,3200,3300,3400,3600,3600,3900,3900,3900,108,0,2900.0,2761.2407144735225,626.6560830117669,3850.650999986101,731.1666666666666
1767694333,10,,Aggregated,3.000000,0.000000,2900,3000,3100,3200,3300,3400,3600,3600,3900,3900,3900,109,0,2900.0,2764.197011432587,626.6560830117669,3850.650999986101,731.1743119266055
1767694334,10,,Aggregated,3.000000,0.000000,2900,3000,3100,3200,3300,3400,3600,3600,3900,3900,3900,113,0,2900.0,2773.2142112400707,626.6560830117669,3850.650999986101,731.1681415929204
